data,forn,area,eta,m,f,d1,d2,dpi,db1,db2,db3,N1,N2,ISTAT,reg
2022-01-01,Janssen,FVG,60-69,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH4,6.0,Friuli-Venezia Giulia
2022-01-01,Janssen,LAZ,20-29,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2022-01-01,Janssen,LAZ,30-39,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2022-01-01,Janssen,LAZ,40-49,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2022-01-01,Janssen,LAZ,50-59,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2022-01-01,Janssen,LAZ,60-69,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2022-01-01,Janssen,LAZ,70-79,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2022-01-01,Moderna,ABR,12-19,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2022-01-01,Moderna,ABR,20-29,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2022-01-01,Moderna,ABR,30-39,4.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2022-01-01,Moderna,ABR,40-49,3.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2022-01-01,Moderna,ABR,50-59,7.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2022-01-01,Moderna,ABR,60-69,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2022-01-01,Moderna,ABR,70-79,2.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2022-01-01,Moderna,ABR,80-89,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2022-01-01,Moderna,ABR,90+,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2022-01-01,Moderna,BAS,20-29,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2022-01-01,Moderna,BAS,30-39,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2022-01-01,Moderna,BAS,40-49,3.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2022-01-01,Moderna,BAS,50-59,3.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2022-01-01,Moderna,BAS,60-69,4.0,3.0,0.0,1.0,0.0,6.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2022-01-01,Moderna,BAS,70-79,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2022-01-01,Moderna,BAS,80-89,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
